request = DwdObservationRequest(
    parameter=[DwdObservationDataset.CLIMATE_SUMMARY, DwdObservationDataset.SOLAR],
    resolution=DwdObservationResolution.DAILY,
    start_date="1990-01-01",
    end_date="2020-01-01",
).filter_by_station_id(station_id=[3, 1048])


"STATION","NAME","DATE","PRCP","SNWD","TMAX","TMIN"
"GME00121366","DRESDEN STREHLEN, GM","2020-01-01","0.00","0.0","44","29"
"GME00121366","DRESDEN STREHLEN, GM","2020-01-02","0.00","0.0","44","25"
"GME00121366","DRESDEN STREHLEN, GM","2020-01-03","0.02","0.0","49","26"
"GME00121366","DRESDEN STREHLEN, GM","2020-01-04","0.11","0.0","47","37"
"GME00121366","DRESDEN STREHLEN, GM","2020-01-05","0.00","0.0","40","32"
"GME00121366","DRESDEN STREHLEN, GM","2020-01-06","0.00","0.0","42","29"
"GME00121366","DRESDEN STREHLEN, GM","2020-01-07","0.00","0.0","41","28"
"GME00121366","DRESDEN STREHLEN, GM","2020-01-08","0.28","0.0","43","31"
"GME00121366","DRESDEN STREHLEN, GM","2020-01-09","0.07","0.0","48","41"
"GME00121366","DRESDEN STREHLEN, GM","2020-01-10","0.02","0.0","54","42"
"GME00121366","DRESDEN STREHLEN, GM","2020-01-11","0.03","0.0","44","28"
"GME00121366","DRESDEN STREHLEN, GM","2020-01-12","0.00","0.0","44","29"
"GME00121366","DRESDEN STREHLEN, GM","2020-01-13","0.00","0.0","44","37"
"GME00121366","DRESDEN STREHLEN, GM","2020-01-14","0.00","0.0","46","37"
"GME00121366","DRESDEN STREHLEN, GM","2020-01-15","0.00","0.0","43","35"
"GME00121366","DRESDEN STREHLEN, GM","2020-01-16","0.00","0.0","46","35"
"GME00121366","DRESDEN STREHLEN, GM","2020-01-17","0.01","0.0","44","35"
"GME00121366","DRESDEN STREHLEN, GM","2020-01-18","0.00","0.0","45","35"
"GME00121366","DRESDEN STREHLEN, GM","2020-01-19","0.02","0.0","40","36"
"GME00121366","DRESDEN STREHLEN, GM","2020-01-20","0.00","0.0","43","26"
"GME00121366","DRESDEN STREHLEN, GM","2020-01-21","0.00","0.0","42","24"
"GME00121366","DRESDEN STREHLEN, GM","2020-01-22","0.00","0.0","38","22"
"GME00121366","DRESDEN STREHLEN, GM","2020-01-23","0.00","0.0","40","24"
"GME00121366","DRESDEN STREHLEN, GM","2020-01-24","0.00","0.0","40","20"
"GME00121366","DRESDEN STREHLEN, GM","2020-01-25","0.00","0.0","33","20"
"GME00121366","DRESDEN STREHLEN, GM","2020-01-26","0.00","0.0","36","20"
"GME00121366","DRESDEN STREHLEN, GM","2020-01-27","0.02","0.0","47","34"
"GME00121366","DRESDEN STREHLEN, GM","2020-01-28","0.04","0.0","48","38"
"GME00121366","DRESDEN STREHLEN, GM","2020-01-29","0.02","0.0","45","38"
"GME00121366","DRESDEN STREHLEN, GM","2020-01-30","0.00","0.0","49","35"
"GME00121366","DRESDEN STREHLEN, GM","2020-01-31","0.00","0.0","58","44"
"GME00121366","DRESDEN STREHLEN, GM","2020-02-01","0.11","0.0","61","48"
"GME00121366","DRESDEN STREHLEN, GM","2020-02-02","0.62","0.0","50","42"
"GME00121366","DRESDEN STREHLEN, GM","2020-02-03","0.75","0.0","51","43"
"GME00121366","DRESDEN STREHLEN, GM","2020-02-04","0.24","0.0","45","37"
"GME00121366","DRESDEN STREHLEN, GM","2020-02-05","0.02","0.0","41","34"
"GME00121366","DRESDEN STREHLEN, GM","2020-02-06","0.00","0.0","41","35"
"GME00121366","DRESDEN STREHLEN, GM","2020-02-07","0.04","0.0","42","34"
"GME00121366","DRESDEN STREHLEN, GM","2020-02-08","0.00","0.0","43","27"
"GME00121366","DRESDEN STREHLEN, GM","2020-02-09","0.24","0.0","58","35"
"GME00121366","DRESDEN STREHLEN, GM","2020-02-10","0.24","0.0","58","37"
"GME00121366","DRESDEN STREHLEN, GM","2020-02-11","0.02","0.0","46","37"
"GME00121366","DRESDEN STREHLEN, GM","2020-02-12","0.02","0.0","45","38"
"GME00121366","DRESDEN STREHLEN, GM","2020-02-13","0.06","0.0","44","30"
"GME00121366","DRESDEN STREHLEN, GM","2020-02-14","0.06","0.0","46","37"
"GME00121366","DRESDEN STREHLEN, GM","2020-02-15","0.00","0.0","51","33"
"GME00121366","DRESDEN STREHLEN, GM","2020-02-16","0.01","0.0","65","43"
"GME00121366","DRESDEN STREHLEN, GM","2020-02-17","0.01","0.0","63","47"
"GME00121366","DRESDEN STREHLEN, GM","2020-02-18","0.00","0.0","51","42"
"GME00121366","DRESDEN STREHLEN, GM","2020-02-19","0.06","0.0","46","39"
"GME00121366","DRESDEN STREHLEN, GM","2020-02-20","0.13","0.0","49","31"
"GME00121366","DRESDEN STREHLEN, GM","2020-02-21","0.00","0.0","49","35"
"GME00121366","DRESDEN STREHLEN, GM","2020-02-22","0.13","0.0","59","36"
"GME00121366","DRESDEN STREHLEN, GM","2020-02-23","0.37","0.0","56","41"
"GME00121366","DRESDEN STREHLEN, GM","2020-02-24","0.06","0.0","51","40"
"GME00121366","DRESDEN STREHLEN, GM","2020-02-25","0.01","0.0","56","40"
"GME00121366","DRESDEN STREHLEN, GM","2020-02-26","0.11","0.0","45","36"
"GME00121366","DRESDEN STREHLEN, GM","2020-02-27","0.07","0.0","45","36"
"GME00121366","DRESDEN STREHLEN, GM","2020-02-28","0.10","0.0","45","34"
"GME00121366","DRESDEN STREHLEN, GM","2020-02-29","0.11","0.0","51","36"
"GME00121366","DRESDEN STREHLEN, GM","2020-03-01","0.00","0.0","56","40"
"GME00121366","DRESDEN STREHLEN, GM","2020-03-02","0.00","0.0","51","42"
"GME00121366","DRESDEN STREHLEN, GM","2020-03-03","0.02","0.0","44","38"
"GME00121366","DRESDEN STREHLEN, GM","2020-03-04","0.00","0.0","49","33"
"GME00121366","DRESDEN STREHLEN, GM","2020-03-05","0.09","0.0","51","31"
"GME00121366","DRESDEN STREHLEN, GM","2020-03-06","0.06","0.0","52","40"
"GME00121366","DRESDEN STREHLEN, GM","2020-03-07","0.04","0.0","47","37"
"GME00121366","DRESDEN STREHLEN, GM","2020-03-08","0.00","0.0","51","31"
"GME00121366","DRESDEN STREHLEN, GM","2020-03-09","0.04","0.0","51","35"
"GME00121366","DRESDEN STREHLEN, GM","2020-03-10","0.27","0.0","56","33"
"GME00121366","DRESDEN STREHLEN, GM","2020-03-11","0.04","0.0","56","46"
"GME00121366","DRESDEN STREHLEN, GM","2020-03-12","0.05","0.0","63","39"
"GME00121366","DRESDEN STREHLEN, GM","2020-03-13","0.02","0.0","52","38"
"GME00121366","DRESDEN STREHLEN, GM","2020-03-14","0.00","0.0","48","32"
"GME00121366","DRESDEN STREHLEN, GM","2020-03-15","0.00","0.0","51","31"
"GME00121366","DRESDEN STREHLEN, GM","2020-03-16","0.00","0.0","60","37"
"GME00121366","DRESDEN STREHLEN, GM","2020-03-17","0.00","0.0","61","38"
"GME00121366","DRESDEN STREHLEN, GM","2020-03-18","0.00","0.0","66","38"
"GME00121366","DRESDEN STREHLEN, GM","2020-03-19","0.00","0.0","64","38"
"GME00121366","DRESDEN STREHLEN, GM","2020-03-20","0.18","0.0","50","40"
"GME00121366","DRESDEN STREHLEN, GM","2020-03-21","0.00","0.0","42","27"
"GME00121366","DRESDEN STREHLEN, GM","2020-03-22","0.00","0.0","41","23"
"GME00121366","DRESDEN STREHLEN, GM","2020-03-23","0.00","0.0","42","20"
"GME00121366","DRESDEN STREHLEN, GM","2020-03-24","0.00","0.0","46","19"
"GME00121366","DRESDEN STREHLEN, GM","2020-03-25","0.00","0.0","48","19"
"GME00121366","DRESDEN STREHLEN, GM","2020-03-26","0.00","0.0","53","24"
"GME00121366","DRESDEN STREHLEN, GM","2020-03-27","0.00","0.0","65","28"
"GME00121366","DRESDEN STREHLEN, GM","2020-03-28","0.00","0.0","59","30"
"GME00121366","DRESDEN STREHLEN, GM","2020-03-29","0.06","0.0","45","31"
"GME00121366","DRESDEN STREHLEN, GM","2020-03-30","0.00","0.0","43","23"
"GME00121366","DRESDEN STREHLEN, GM","2020-03-31","0.00","0.0","41","24"
"GME00121366","DRESDEN STREHLEN, GM","2020-04-01","0.00","0.0","49","22"
"GME00121366","DRESDEN STREHLEN, GM","2020-04-02","0.00","0.0","56","25"
"GME00121366","DRESDEN STREHLEN, GM","2020-04-03","0.00","0.0","52","34"
"GME00121366","DRESDEN STREHLEN, GM","2020-04-04","0.00","0.0","54","32"
"GME00121366","DRESDEN STREHLEN, GM","2020-04-05","0.00","0.0","63","29"
"GME00121366","DRESDEN STREHLEN, GM","2020-04-06","0.00","0.0","72","38"
"GME00121366","DRESDEN STREHLEN, GM","2020-04-07","0.00","0.0","71","47"
"GME00121366","DRESDEN STREHLEN, GM","2020-04-08","0.00","0.0","73","40"
"GME00121366","DRESDEN STREHLEN, GM","2020-04-09","0.00","0.0","68","35"
"GME00121366","DRESDEN STREHLEN, GM","2020-04-10","0.00","0.0","64","39"
"GME00121366","DRESDEN STREHLEN, GM","2020-04-11","0.00","0.0","63","38"
"GME00121366","DRESDEN STREHLEN, GM","2020-04-12","0.00","0.0","75","35"
"GME00121366","DRESDEN STREHLEN, GM","2020-04-13","0.06","0.0","57","40"
